,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
33,1800000,1800000,2,2,1,CONSTITUCION DE LA REPUBLICA,RESIDENCIAL FERROCARRIL HIDALGO,CONSTITUCION DE LA REPUBLICA,19.4834013346,19.4834013346
35,11500000,11500000,5,4+,4+,BOSQUES DE TARANGO,REMATE CASA EN VENTA EN BOSQUE DE TARANGO,BOSQUES DE TARANGO,19.3471400096,19.3471400096
42,13600000,13600000,3,3,3,LA ROSITA,DEPARTAMENTO REFORMA SANTA FE,SANTA FE,19.3892631023,19.3892631023
43,22800000,22800000,5,4+,4+,DEL CARMEN,CASA EN VENTA EN DEL  CARMEN COYOACAN (BERLIN),EL CARMEN,19.2452198892,19.2452198892
61,960000,960000,3,3,1,LOMAS DE SANTA FE,"CASAS EN VENTA RESIDENCIALES DESDE $960,000 ALBERCA ZONA NORTE",SANTA FE,19.3892631023,19.3892631023
62,960000,960000,3,2,2,PUEBLA,"CASAS EN VENTA DESDE $960,000 RESIDENCIALES CON ALBERCA",PUEBLA,19.4093895139,19.4093895139
63,3408000,3408000,2,2,1,NARVARTE PONIENTE,"DEPARTAMENTO EN VENTA, CUAUHTEMOC 710, 2 RECAMARAS, 2 BANOS, 1ESTACIONAMIENTOS.",CUAUHTEMOC,19.3200700913,19.3200700913
65,5649300,5649300,2,2,3,XOCO,"DEPARTAMENTO EN VENTA,ATMOSFERA COYOACAN,  1 RECAMARA, 2 BANOS, 2 ESTACIONAMIENTOS.",XOCO,19.3618327938,19.3618327938
66,46818000,46818000,2,2,3,RINCON DEL BOSQUE,"DEPARTAMENTO EN VENTA, RUBEN DARIO 43, COL. POLANCO, 2 RECAMARAS, 2 BANOS, 3 ESTACIONAMIENTOS.",DEL BOSQUE,19.544807773,19.544807773
69,6033000,6033000,2,2,2,COLONIA CONDESA,"DEPARTAMENTO EN VENTA,MOCA, 2 RECAMARAS, 2 BANOS, 2 ESTACIONAMIENTOS",CONDESA,19.4147504858,19.4147504858
70,13000000,13000000,3,3,3,MEXICO D.F.,"DEPARTAMENTO DE LUJO EN ZONA SUR SAN JERONIMO, CON ROOF GARDEN, SUPERVIA, A 15 MIN DE SANTA FE, D...",SANTA FE,19.3892631023,19.3892631023
71,6550000,6550000,3,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO PANUCO 140, CUAUHTEMOC, 3 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
73,7504400,7504400,2,2,2,ANZURES,"VENTA DE DEPARTAMENTO, AMAYA, 2 RECAMARAS, 2 BANOS Y 2 ESTACIONAMIENTO.",ANZURES,19.4314355481,19.4314355481
75,3546800,3546800,2,2,0,PARQUE SAN ANDRES,"DEPARTAMENTO EN VENTA, AV. DIVISION DEL NORTE 2884, 2 RECAMARAS, 2 BANOS, DOS ESTACIONAMIENTOS",PARQUE SAN ANDRES,19.3457136742,19.3457136742
78,3990000,3990000,1,2,1,VERONICA ANZURES,"DEPARTAMENTO EN VENTA, VERONICA ANZURES, 1 RECAMARA, 2 BANOS, 1 ESTACIONAMIENTO.",VERONICA ANZURES,19.4364110927,19.4364110927
80,5365800,5365800,2,2,2,AMP GRANADA,"DEPARTAMENTO EN VENTA, NUPOL, LAGO ANDROMACO 1, 2 RECAMARAS, 2 BANOS, 2 ESTACIONAMIENTOS.",GRANADA,19.4399132456,19.4399132456
81,4579000,4579000,2,2,1,NAPOLES,"DEPARTAMENTO EN VENTA, WISCONSIN 26, 2 RECAMARAS, 2 BANOS, 1 ESTACIONAMIENTO.",NAPOLES,19.3936944672,19.3936944672
82,4325700,4325700,2,2,2,ADOLFO LOPEZ MATEOS,"DEPARTAMENTO EN VENTA, FOCUS CUAJIMALPA, 2 RECAMARAS, 2 BANOS, 2 ESTACIONAMIENTOS.",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
84,3655800,3655800,2,2,2,PORTALES SUR,"DEPARTAMENTO EN VENTA, POPOCATEPETL 74, 2 RECAMARAS, 2 BANOS, 2 ESTACIONAMIENTOS.",POPO,19.4457823588,19.4457823588
